bank_of_america_customized_cash_rewards,grocery,2,NULL
bank_of_america_customized_cash_rewards,gas,6,NULL
bank_of_america_customized_cash_rewards,online,6,NULL
bank_of_america_customized_cash_rewards,dining,6,NULL
bank_of_america_customized_cash_rewards,travel,6,NULL
bank_of_america_customized_cash_rewards,pharma,6,NULL
bank_of_america_unlimited_cash_rewards,all,2,NULL
bank_of_america_travel_rewards,all,NULL,1
bank_of_america_premium_rewards,travel,NULL,2
bank_of_america_premium_rewards,dining,NULL,2
bank_of_america_premium_rewards,all,NULL,1
bank_of_america_premium_rewards_elite,travel,NULL,2
bank_of_america_premium_rewards_elite,dining,NULL,2
bank_of_america_premium_rewards_elite,all,NULL,1
bank_of_america_customized_cash_rewards_for_students,grocery,2,NULL
bank_of_america_customized_cash_rewards_for_students,gas,6,NULL
bank_of_america_customized_cash_rewards_for_students,online,6,NULL
bank_of_america_customized_cash_rewards_for_students,dining,6,NULL
bank_of_america_customized_cash_rewards_for_students,travel,6,NULL
bank_of_america_customized_cash_rewards_for_students,pharma,6,NULL
bank_of_america_unlimited_cash_rewards_for_students,all,2,NULL
bank_americard_secured,NULL,NULL,NULL
bank_of_america_travel_rewards_visa_secured,all,NULL,1
bank_of_america_customized_cash_rewards_secured,grocery,2,NULL
bank_of_america_customized_cash_rewards_secured,gas,6,NULL
bank_of_america_customized_cash_rewards_secured,online,6,NULL
bank_of_america_customized_cash_rewards_secured,dining,6,NULL
bank_of_america_customized_cash_rewards_secured,travel,6,NULL
bank_of_america_customized_cash_rewards_secured,pharma,6,NULL
bank_of_america_unlimited_cash_rewards_secured,all,2,NULL
bank_americard_secured,NULL,NULL,NULL
alaska_airlines_visa_signature,travel,NULL,3
alaska_airlines_visa_signature,gas,NULL,2
alaska_airlines_visa_signature,all,NULL,1
susan_g_komen_customized_cash_rewards,grocery,2,NULL
susan_g_komen_customized_cash_rewards,gas,6,NULL
susan_g_komen_customized_cash_rewards,online,6,NULL
susan_g_komen_customized_cash_rewards,dining,6,NULL
susan_g_komen_customized_cash_rewards,travel,6,NULL
susan_g_komen_customized_cash_rewards,pharma,6,NULL
free_spirit_travel_more_world_elite_mastercard,dining,NULL,2
free_spirit_travel_more_world_elite_mastercard,grocery,NULL,2
allways_rewards_visa,dining,NULL,2
allways_rewards_visa,travel,NULL,3
air_france_klm_world_elite_mastercard,travel,NULL,3
royal_caribbean_visa_signature,travel,NULL,2
norwegian_cruise_line_world_mastercard,travel,NULL,3
celebrity_cruises_visa_signature,travel,NULL,2
chase_sapphire_preferred,travel,NULL,5
chase_sapphire_preferred,dining,NULL,3
chase_sapphire_preferred,grocery,NULL,3
chase_sapphire_preferred,online,NULL,3
chase_sapphire_preferred,all,NULL,1
chase_sapphire_reserve,travel,NULL,5
chase_sapphire_reserve,dining,NULL,3
chase_sapphire_reserve,all,NULL,1
chase_freedom_unlimited,dining,3,NULL
chase_freedom_unlimited,pharma,3,NULL
chase_freedom_unlimited,travel,5,NULL
chase_freedom_unlimited,all,1,NULL
chase_freedom_flex,gas,5,NULL
chase_freedom_flex,grocery,5,NULL
chase_freedom_flex,online,5,NULL
chase_freedom_flex,dining,3,NULL
chase_freedom_flex,pharma,3,NULL
chase_freedom_flex,all,1,NULL
chase_freedom_rise,all,1,NULL
slate_edge,all,NULL,NULL
the_new_united_explorer,travel,NULL,2
the_new_united_explorer,dining,NULL,2
the_new_united_explorer,gas,NULL,2
the_new_united_quest,travel,NULL,5
the_new_united_quest,dining,NULL,2
the_new_united_quest,online,NULL,2
the_new_united_quest,all,NULL,1
the_new_united_gateway,travel,NULL,2
the_new_united_gateway,gas,NULL,2
the_new_united_gateway,all,NULL,1
the_new_united_club,travel,NULL,9
the_new_united_club,dining,NULL,2
the_new_united_club,all,NULL,1
southwest_rapid_rewards_plus,travel,NULL,2
southwest_rapid_rewards_plus,all,NULL,1
southwest_rapid_rewards_priority,travel,NULL,2
southwest_rapid_rewards_priority,all,NULL,1
southwest_rapid_rewards_premier,travel,NULL,2
southwest_rapid_rewards_premier,all,NULL,1
marriott_bonvoy_boundless,grocery,NULL,2
marriott_bonvoy_bountiful,grocery,NULL,6
marriott_bonvoy_bold,grocery,NULL,2
marriott_bonvoy_bold,travel,NULL,2
ihg_one_rewards_premier,travel,NULL,5
ihg_one_rewards_premier,gas,NULL,5
ihg_one_rewards_premier,all,NULL,3
ihg_one_rewards_traveler,travel,NULL,5
ihg_one_rewards_traveler,all,NULL,1
disney_premier_visa,dining,2,NULL
disney_premier_visa,gas,2,NULL
disney_premier_visa,travel,NULL,1
disney_visa,all,1,NULL
world_of_hyatt,dining,NULL,2
world_of_hyatt,travel,NULL,2
aeroplan,grocery,NULL,3
aeroplan,dining,NULL,3
aeroplan,all,NULL,1
british_airways_visa_signature,travel,NULL,3
british_airways_visa_signature,all,NULL,1
aer_lingus_visa_signature,travel,NULL,2
aer_lingus_visa_signature,all,NULL,1
iberia_visa_signature,travel,NULL,2
iberia_visa_signature,all,NULL,1
prime_visa,all,NULL,NULL
amazon_visa,gas,2,NULL
amazon_visa,dining,2,NULL
amazon_visa,all,1,NULL
doordash_rewards_mastercard,dining,3,NULL
doordash_rewards_mastercard,grocery,2,NULL
doordash_rewards_mastercard,all,1,NULL
instacart_mastercard,dining,2,NULL
instacart_mastercard,gas,2,NULL
instacart_mastercard,all,1,NULL
